country,total,female,gdppc,poverty,literacy,life,population
United States,2170000,9.3,48666,15.1,99,79.56,318892103
Thailand,330923,14.5,5174,13.2,93.5,74.18,67741401
Russia,673818,8.1,13543,11,99.7,70.16,142470272,
Brazil,581507,6.1,12423,21.4,95.8,73.28,202656788
India,411992,4.4,1382,29.8,74.4,67.8,1236344631
Mexico,255638,5.2,10638,52.3,93.4,75.43,120286655
Iran,225624,3.1,5493,18.7,85,70.89,80840713
Indonesia,167163,5.1,3465,11.7,92.8,72.17,253609643
Turkey,165033,3.6,11054,16.9,98.78,73.29,81619392
South Africa,157824,2.5,7585,31.3,93.1,49.56,48375645
Vietnam,142636,14.4,1327,11.3,94,72.91,93421835
China,1657812,6.3,4833,6.1,95.1,75.15,1355692576,
Colombia,116760,7.0,6685,32.7,93.6,75.25,46245297
Philippines,110925,8.4,2117,26.5,95.4,72.48,107668231
Ethiopia,93044,2.8,342,39,39,60.75,96633458
United Kingdom,85681,4.5,39459,16.2,99,80.42,63742977
Poland,78013,3.3,13079,10.6,99.7,76.65,38346279
Pakistan,74944,1.5,1197,12.4,55,67.05,196174380,
Morocco,72816,2.4,3117,15,67.1,76.51,32987206
Ukraine,72278,4.9,3483,24.1,99.7,69.14,44291413
