,,Inmate-on-inmate ,,,,,Staff sexual misconduct,,,,,,
Characteristic,,Heterosexual*,,Non-heterosexuala,,,Heterosexual*,,Non-heterosexuala,,,,
Sex,,,,,,,,,,,,,
,Male,1,%,11.9,%**,,2,%,6.1,%**,,,
,Female,3.6,,9.4,**,,1.4,,3,**,,,
Race/Hispanic originb,,,,,,,,,,,,,
,Whitec,1.7,%,11.4,%**,,1.3,%,3.2,%**,,,
,Blackc,0.6,,10.6,**,,2.2,,6.2,**,,,
,Hispanic,1,,10.1,**,,1.8,,5.9,**,,,
Age,,,,,,,,,,,,,
,18–24,1.3,%,11.6,%**,,2.5,%,6.7,%**,,,
,25–44,1.2,,11.9,**,,2.2,,5,**,,,
,45 or older,0.9,,8.9,**,,1.1,,4.2,**,,,
Education,,,,,,,,,,,,,
,Less than high school,1,%,11,%**,,2,%,5.1,%**,,,
,High school graduate,1.1,,9,**,,2,,4.9, ,,,
,Some college or more,1.7,,12.6,**,,1.8,,4.8,**,,,
Current mental health status,,,,,,,,,,,,,
,No mental illness,0.4,%,5.7,%**,,1,%,3.2,%**,,,
,Anxiety-mood disorder,1.3,,10.7,**,,2.3,,3.2, ,,,
,Serious psychological distress,3.3,,18.6,**,,4.1,,8.8,**,,,
