Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,
Filename: p13t05.csv,,,,,,,,,,,,,,,,,,
"Table 5. Imprisonment rate of sentenced prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2003–2013",,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, U.S. Census Bureau resident population estimates",,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,
Date of version: 08/27/2014,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table 5. Imprisonment rate of sentenced prisoners under the jurisdiction of state or federal correctional authorities, December 31, 2003–2013",,,,,,,,,,,,,,,,,,
,,"Per 100,000 U.S. residents",,"Per 100,000 adult U.S. residents",,,,,,,,,,,,,,
Year,,Total/a,,Federal/b,,State/a,,Male/a,,Female/a,,,Total/c,,Male/c,,Female/c,
2003,,483,,52,,431,,917,,62,,,645,,"1,242",,82,
2004,,487,,54,,433,,923,,64,,,649,,"1,248",,84,
2005,,492,,56,,436,,932,,65,,,655,,"1,257",,86,
2006,,501,,58,,443,,948,,68,,,666,,"1,275",,89,
2007,,506,,59,,447,,955,,69,,,670,,"1,282",,90,
2008,,506,,60,,447,,956,,69,,,669,,"1,279",,90,
2009,,504,,61,,443,,952,,67,,,665,,"1,271",,88,
2010,,500,,61,,439,,948,,66,,,656,,"1,260",,86,
2011,,492,,63,,429,,932,,65,,,644,,"1,236",,84,
2012,,480,,62,,417,,909,,63,,,626,,"1,201",,82,
2013/d,,478,,61,,417,,904,,65,,,623,,"1,191",,83,
Percent change,,,,,,,,,,,,,,,,,,
,"Average annual, 2003–2012",-0.1,%,1.7,%,-0.3,%,-0.1,%,0.4,%,,-0.4,%,-0.4,%,0.1,%
,2012–2013,-0.3,,-1.4,,-0.1,,-0.5,,2.1,,,-0.6,,-0.8,,1.9,
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners with sentences of more than a year under the jurisdiction of state or federal correctional officials.",,,,,,,,,,,,,,,,,,
"a/Imprisonment rate per 100,000 U.S. residents of all ages. These rates are comparable to those in previously published BJS reports.",,,,,,,,,,,,,,,,,,
b/Includes inmates held in nonsecure privately operated community corrections facilities and juveniles held in contract facilities.,,,,,,,,,,,,,,,,,,
"c/Imprisonment rate per 100,000 U.S. residents age 18 or older.",,,,,,,,,,,,,,,,,,
"d/Total and state estimates include imputed counts for Nevada. In addition, Alaska did not submit sex-specific counts or sentence length data in 2013. See Methodology for imputation strategy.",,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Prisoner Statistics Program, 2003–2013, U.S. Census Bureau, resident population estimates for January 1 of the following calendar year provided to BJS.",,,,,,,,,,,,,,,,,,
