Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,
Filename: p13t07.csv,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by age, sex, race, and Hispanic origin, December 31, 2013",,,,,,,,,,,,,,,,,,,,,,,,
Report title: Prisoners in 2013 NCJ 247282,,,,,,,,,,,,,,,,,,,,,,,,
"Data source(s): National Prisoner Statistics Program, Federal Justice Statistics Program, National Corrections Reporting Program, Survey of Inmates in State and Federal Correctional Facilities",,,,,,,,,,,,,,,,,,,,,,,,
Author(s): E. Ann Carson,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov or 202-307-0765 ,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 08/27/2014,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Table 7. Sentenced prisoners under the jurisdiction of state or federal correctional authorities, by age, sex, race, and Hispanic origin, December 31, 2013",,,,,,,,,,,,,,,,,,,,,,,,
,,,,Male,,,,,,,,,,,Female,,,,,,,,,
Age,,Total/a,,"Total male/a,b",,White/c,,Black/c,,Hispanic,,"Otherb,c",,,"Total female/a,b",,White/c,,Black/c,,Hispanic,,"Other/b,c",
,Totald,100,%,100,%,100,%,100,%,100,%,100,%,,100,%,100,%,100,%,100,%,100,%
18–19,,1,%,1.1,%,0.6,%,1.3,%,1.3,%,1.1,%,,0.6,%,0.4,%,0.9,%,1.1,%,0.8,%
20–24,,11.4,,11.4,,8.6,,13,,12.7,,12.4,,,10.2,,8.7,,11.3,,12.5,,10.9,
25–29,,15.3,,15.2,,13.2,,15.5,,17.2,,17.2,,,17.3,,16.6,,16.5,,20.5,,20.2,
30–34,,16.7,,16.6,,15.1,,16.8,,18.6,,17.9,,,18.3,,18.4,,16.9,,19.9,,21,
35–39,,13.9,,13.9,,12.7,,14.1,,15.5,,14.2,,,14.4,,14.5,,13.9,,14.8,,14.3,
40–44,,12.5,,12.5,,13,,12.2,,12.3,,12.4,,,13.2,,13.7,,13.4,,11.4,,11.8,
45–49,,10.8,,10.8,,12.2,,10.5,,9.1,,9.5,,,11.3,,11.7,,12.1,,9.1,,9.2,
50–54,,8.4,,8.5,,10.4,,8.2,,6.3,,7,,,7.7,,8.2,,7.8,,5.7,,6.7,
55–59,,4.9,,5,,6.4,,4.6,,3.6,,4,,,3.8,,3.9,,4.3,,2.8,,3.4,
60–64,,2.5,,2.6,,3.7,,2.1,,1.8,,2.1,,,1.7,,2,,1.7,,1.1,,1.7,
65 or older,,2.1,,2.2,,3.8,,1.2,,1.4,,1.8,,,1.2,,1.4,,0.9,,1.1,,0.8,
,Total number of sentenced prisoners,"1,516,879",,"1,412,745",,"454,100",,"526,000",,"314,600",,"118,100",,,"104,134",,"51,500",,"23,100",,"17,600",,"11,900",
"Note: Jurisdiction refers to the legal authority of state or federal correctional officials over a prisoner, regardless of where the prisoner is held. Counts are based on prisoners with sentences of more than a year under the jurisdiction of state or federal correctional officials. Nevada did not submit 2013 data to NPS and Alaska did not submit sex-specific counts or sentence length data in 2013. See Methodology for imputation strategy.",,,,,,,,,,,,,,,,,,,,,,,,
"a/Detail may not sum to total due to rounding, inclusion of inmates age 17 or younger in the total count, and missing race or Hispanic origin data.",,,,,,,,,,,,,,,,,,,,,,,,
"b/Includes American Indians, Alaska Natives, Asians, Native Hawaiians, Pacific Islanders, persons of two or more races, or additional racial categories in reporting information systems.",,,,,,,,,,,,,,,,,,,,,,,,
c/Excludes persons of Hispanic or Latino orgin.,,,,,,,,,,,,,,,,,,,,,,,,
d/Includes persons age 17 or younger.,,,,,,,,,,,,,,,,,,,,,,,,
"Sources: Bureau of Justice Statistics, National Prisoner Statistics Program, 2013; Federal Justice Statistics Program, 2012–2013; National Corrections Reporting Program, 2012; and Survey of Inmates in State and Federal Correctional Facilities, 2004.",,,,,,,,,,,,,,,,,,,,,,,,
