Year,Total admissions,Total releases,Sentenced prison population
1978,152039,142033,294396
1979,161280,154277,301470
1980,171884,157604,315964
1981,199943,162294,353673
1982,218087,174808,395516
1983,237925,212302,419346
1984,234293,208608,443398
1985,258514,219310,480568
1986,291903,247619,522084
1987,326228,288781,560812
1988,365724,318889,603732
1989,447388,367388,680907
1990,462500,404000,739980
1991,468000,420000,789612
1992,482400,428300,846277
1993,500335,434082,932074
1994,523577,434766,1016691
1995,549313,474296,1085022
1996,542863,488748,1137722
1997,572281,514322,1194334
1998,603510,546616,1256474
1999,606728,574624,1304081
2000,654534,635094,1334174
2001,638978,628626,1345217
2002,660576,633947,1380516
2003,686471,656574,1408361
2004,697066,672202,1433728
2005,730141,701632,1462866
2006,747031,709874,1504598
2007,742875,721161,1532851
2008,738631,734144,1547742
2009,728686,729749,1553574
2010,703798,708677,1552669
2011,671551,691072,1538847
2012,609781,637411,1511480
